comment_id,comment_text,gold,zero_shot,fine_tuned,zero_shot_output,fine_tuned_output
source1_32803341_34,"Huh? I am a woman who voted for Trump. Mrs. Clinton (even the New York Times reported on this in October) orchestrated attacks on the women who came forward to say Bill Clinton had sexually assaulted them. She hired DC private investigator Terry Lenzner to go after them. Mrs. Clinton was no friend to women if she considered them roadblocks on her desired path to power. Additionally, Donald Trump hired Kellyanne Conway the first female campaign manager in a Presidential campaign. She is being credited for steering Trump to victory. He also had Hope Hicks as his spokesperson. Trump is not afraid to hire strong and powerful and outspoken women",yes,yes,yes,"LABEL: yes
REASON: The comment provides specific examples and personal experiences, including references to real people and events, and offers insights into the political strategies of both candidates.",LABEL: yes
source1_29425530_15_2,FYI this author is extremely conservative/right-wing...,no,no,no,"LABEL: no
REASON: The comment is an insult and lacks constructive feedback.",LABEL: no
source1_32013536_23,"How is it racist? it also applies to Americans, British, Australians, the french. I would like to see something similar in most countries.",no,no,no,"LABEL: no
REASON: The comment is not constructive because it is an unsupported assertion and lacks specific evidence or a solution.",LABEL: no
source1_32803341_105,Just tell your daughters that Hillary won the popular vote and lost because of the peculiarities of the American system. Note too that some of our biggest provinces have female leaders so all is not lost. My daughters still have lots of hope.,yes,no,no,"LABEL: no
REASON: The comment is not constructive as it is an insult and lacks specific evidence or a solution.",LABEL: no
source1_26373964_147,During Martin's stewardship of the economy he ran a grand total of $50 billion in surplus budgets. That is exactly the grand total that he took from working Canadians by cutting their EI benefits during the same period. Martin's hard kick in the groin to working Canadians was an unnecessary rounding error.,yes,no,yes,"LABEL: no
REASON: The comment is not constructive as it contains sarcasm and is a one-line dismissal with no substantive content.",LABEL: yes
source1_32013536_27,"Looking for a fight Henry? The word Chinese is NOT mentioned once in the legislation. It applies to ANY and ALL non-residents of Canada. What in heaven's name is wrong with that? Henry, go back to teaching at UBC. Stop inventing a story!! You have no idea what you are talking about.",yes,no,yes,"LABEL: no
REASON: The comment is an insult and a one-line dismissal without any constructive feedback or evidence.",LABEL: yes
source1_29425530_37,'Belgium Will Become an Islamic State'http://www.gatestoneinstitute.org/3442/belgium-islamic-state,no,no,no,"LABEL: no
REASON: The comment is an insult and does not add anything to the conversation.",LABEL: no
source1_26373964_42,"It is almost pointless to comment on this article as the truth of it is so plain and obvious. However, for the benefit of those who do not pay any attention to politics , just keep this in mind: Harper will do anything and say anything to retain power. He is completely shameless. This 'surplus' is just a WORD he has uttered for the sake of effect. There is no proof whatsoever that a genuine surplus exists and even if it did , Harper would spend 100% of it on himself. You would not see one penny of it in any form.",yes,no,yes,"LABEL: no
REASON: The comment is not constructive because it is an insult, a one-line dismissal, and lacks specific evidence or a personal experience.",LABEL: yes
source1_29265806_63,"Mrs Al-Fattal, what is the point of this lecture? What do you exactly suggest? That Europe and Canada take them all and give them free everything (that others do not get)? So simple right? Will you be happy then?",no,no,no,"LABEL: no
REASON: The comment is not constructive as it is an insult and lacks specific points or evidence.",LABEL: no
source1_23462276_0_4_0,"I'm not upset at all; I have my 160gb Classic and love it, and am really glad Apple made it. I'm just sorry that there's now nothing on the market that can touch it for storage/capacity. As I said: the Classic did one thing and did it brilliantly, and now the only replacement is something with a fraction of the storage space. So, yeah, progress, I suppose.",yes,no,yes,"LABEL: no
REASON: The comment is not constructive because it is an unsupported assertion and lacks specific points or evidence.",LABEL: yes
source1_32746841_76,"If, and that's a very big if, Trump travels to Moscow to repair relations with Russia and orders the US's military, FBI, CIA, JSOC, etc. to stop the US's regime-change operations in Syria and the rest of the world, and to stop supporting the US's Nuland-installed puppet government in Ukraine, the 'Canadian' government and all of the MSM of the US's vassal states are going to be placed in a very interesting situation. For example, what are Justine and Harjit going to say to the thoroughly-brainwashed Canadian herd should Trump order changes to US foreign policy such as the above? Whatever it is, government-propaganda-distribution outfits such as the G&M will, as they have been so religiously been doing, will leap into action and 'condition' the masses to accept and support it. One thing I've learned over my many decades of life is how quickly the 'direction' of the bewildered herd can be turned to whatever direction the US corporate Elite desire. One thing is for sure, before Trump takes office, all of the G&M editorial staff and writers will have to take some 're-education' courses in creative writing, because insulting a newly elected president of the US of A and everyone who voted for him will not be a good long-term business model.",yes,yes,yes,"LABEL: yes
REASON: The comment provides specific examples and arguments about the potential consequences of Trump's actions, including references to specific individuals and organizations, and engages with the article's argument by suggesting that the Canadian government and media would be affected by such a move.",LABEL: yes
source1_25343745_49,"human are strange animal! they hate taxi. they don't appreciate Uber. an empty word 'thank you' or 'I'll rate you a 5-star' cannot bring food to table. that's Hippocratic, not an appreciation. If you really appreciate, tip drivers for good service. only idiots believe tip is included at the cheap and dirty rate at $0.90/mile",no,no,yes,"LABEL: no
REASON: The comment is not constructive because it is an insult and uses sarcasm with no substance.",LABEL: yes
source1_25343745_16_0,You have evidence to present then?,no,no,no,"LABEL: no
REASON: The comment is a one-line dismissal and lacks specific evidence or a constructive point.",LABEL: no
source1_25343745_42_1,"The license has nothing to do with almost any argument,,, it is simply distracting you from the real truth,,, Uber drivers have no insurance,, they neither collect or pay HST as they are required by law, there are 83 more by-laws, cameras, safety issues overcharging,,, that Uber is not regulated are we kidding ourselves,,, getting in a car with no insurance is enough to stop me,,",yes,yes,yes,"LABEL: yes
REASON: The comment provides specific arguments about Uber drivers' insurance, HST, by-laws, safety, and charging, which are constructive and add to the conversation.",LABEL: yes
source1_32746841_27,Ha-Ha-Ha!!!,no,no,no,"LABEL: no
REASON: The comment is an insult and lacks constructive feedback.",LABEL: no
source1_20144737_27,"Is someone here suggesting that there are some cohesive group of anti-aboriginal psychotic murderers out there whose collective mission statement is to kill only young aboriginal women? Because if nobody is suggesting that then this is just another murder where someone was at the WRONG PLACE at the WRONG TIME. If too many young aboriginal women are THERE and THEN, it seems, the reason for that should be the subject of any inquiry.",yes,no,yes,"LABEL: no
REASON: The comment is not constructive because it contains a sarcastic and dismissive tone, and it is not providing specific evidence or a solution.",LABEL: yes
